IdTipoVenta,TipoVenta
1,VENTA LOCAL TERCEROS
2,VENTA EXPORTACION TERCEROS AEREO
3,VENTA EXPORTACION TERCEROS MARITIMO
4,VENTA EXPORTACION TERCEROS TERRESTRE
