Fecha,PATRIMONIO,RESULTEX,ACTIVO_T,PASIVO_T,PATRIMONIO_T,Activo Biológico,Capital Social,Cuentas por Cobrar Comerciales,Cuentas por Cobrar a Relacionadas,Cuentas por Pagar Comerciales,Cuentas por Pagar a Relacionadas,Efectivo y Equivalente de Efectivo,Existencias,Gastos Pagados por Anticipado y Otros Activos,Impuestos por Recuperar,"Inmueble, Maquinaria y Equipo, Neto",Instrumento Financiero Derivados,Instrumentos Financieros Derivados,Inversiónes Mobiliarias,Obligaciones Financieras,Otras Cuenta por Cobrar Largo Plazo,Otras Cuentas por Pagar,Otras Cuentas por Pagar Largo Plazo,Parte Corriente de Activo Biológico,Pasivo por Impuesto a la Renta Diferido,Porcion Corriente de Obligaciones Financieras,Reserva Legal,Resultados Acumulados,Sobregiros Bancarios,ACTIVO_CORR,ACTIVO_NCORR,PASIVO_CORR,PASIVO_NCORR,CxC,INVENTARIOS,CxP,CAPEX,ACT_FIJ,CASH,DEUDA_TOT,Cambios en el Valor Razonable de Activos Biológicos,Costo de Venta - NIC 41,Costo de Ventas,Depr. De Gastos de Administración,Depr. De Gastos de Venta,"Diferencia de Cambio, Neta",Gastos Financieros,Gastos de Administración,Gastos de Venta,Impuesto a la Renta Corriente,Impuesto a la Renta Diferido,Ingresos Financieros,"Instrumentos Financieros, Netos",Otros Gastos,Otros Gastos - NIC 41,Otros Ingresos,Restitución de Derechos Arancelarios,Ventas,uti_bruta,EBIT,EBITDA,EBT,Utilidad Neta,costo_venta,Ratio de Liquidez,Ratio Rápido,Ratio de Cash,Deuda/Activos,Deuda/Patrimonio,Apalancamiento,Cobertura de Intereses,Margen Ebitda,ROA,ROE,rotacion_trabajo,rotacion_fijos,Rotación de Activos,rotacion_inventarios,rotacion_cxp,dias_inventario,dias_cxp,mg_bruto,Margen Neto,mg_operativo,carga_impositiva,carga_intereses,ventas12M,Var 12M Util. Neta,Var 12M de Ebitda
1-Set-19,146870300.6,7397441.07,348955218.5,194687476.8,154267741.7,81655538.96,69449428.29,22470715.5,8799594.94,16487989.89,175707.9,1697512.59,13709987.73,10769275.91,0,137063310.6,649650.36,0,39613453.53,128727111.5,386018.91,-3195820.79,17919584.03,32789809.84,4645345.49,29225843.24,12032123.59,65388748.76,52065.12,90236896.51,258718322,43395435.72,151292041,31270310.44,46499797.57,13467877,46841460.79,258332303.1,1697512.59,158005019.9,2292658.99,-2369805.3,-48758200.81,-388150.67,-21495.22,-1775709.16,-2447471.74,-11389591.11,-10473730.41,0,6980127.45,19197.35,543332.17,-1774539.01,-3208977.16,1798217.47,2231253.38,76140324.85,29536231.11,4077965,4487610.89,417313.62,7397441.07,-51128006.11,2.079409851,1.007873252,0.039117307,45.28 %,1.024225921,2.262010286,1.666194928,5.89 %,1.92 %,3.92 %,1.169166914,0.266660163,0.197303089,0.860360291,1.595832319,424.2408718,0.860360291,38.79 %,9.72 %,5.36 %,17.7263351,0.102333791,4.73 %,408.06 %,-9.86 %
1-Oct-19,146870300.6,8698450.95,356810799.8,201242048.2,155568751.6,81914933.52,69449428.29,14308589.05,8230626.61,17939914.17,210607.03,12245488.04,14232167.16,10575854.78,0,136367915.9,602815.55,0,39613453.53,126982944.5,969806.21,-2277865.92,17675824.66,38351964.97,4645345.49,35451924.44,12032123.59,65388748.76,10538.27,97944690.61,258866109.2,51937933.54,149304114.6,22539215.66,52584132.13,15872655.28,46006757.07,257896302.9,12245488.04,162445407.2,2292658.99,-2633117,-51170244.37,-431897.56,-24050.87,308410.72,-2466722.55,-12625833.73,-11178955.98,0,6980127.45,27140.1,581364.65,-1774539.01,-3208977.16,1835159.95,2393193.75,79794733.57,30677224.94,3268130.58,3724079.01,1718323.5,8698450.95,-53803361.37,1.88580261,0.873360863,0.235771568,45.53 %,1.044203322,2.293589144,1.324887787,4.67 %,2.21 %,4.59 %,1.20105617,0.281203642,0.202324888,0.916674059,2.202727546,398.1786071,0.916674059,38.45 %,10.90 %,4.10 %,5.062173072,0.525781776,5.76 %,-405.08 %,23.23 %
1-Nov-19,146870300.6,10814328.55,364428434.7,206743805.5,157684629.2,82202382.9,69449428.29,26762467.31,7359752.24,22986807.94,197000.66,9523042.16,15997201.36,10469982.93,0,135973791.5,649859.19,0,39613453.53,128878778.2,1013587.29,-3855513.14,17380287.93,35512773.49,4645345.49,35861239.2,12032123.59,65388748.76,0,105625219.5,258803215.2,55839393.85,150904411.6,34122219.55,51509974.85,19328295.46,49785825.64,257789627.9,9523042.16,164740017.4,2292658.99,-2896428.7,-62162143.7,-475219.92,-26606.52,-1858075.94,-2570412.7,-13779098.54,-13012005.24,0,6980127.45,40253.63,543320.94,-1922284.69,-3208977.16,2315097.8,2760502.27,97793620.58,37788209.44,7679115.17,8180941.61,3834201.1,10814328.55,-65058572.4,1.89158965,0.969123067,0.170543437,45.21 %,1.044743665,2.311122121,2.987502812,8.37 %,2.73 %,5.92 %,1.902261094,0.351562415,0.246439031,1.230818296,3.081946023,296.550678,1.230818296,38.64 %,11.06 %,7.85 %,2.820490701,0.499302461,-6.95 %,-455.82 %,115.24 %
1-Dic-19,147723020.7,3.9041E-06,370350940,222627919.2,147723020.7,78106541.77,69449428.29,25087452.87,752772.6,30582258.69,223892.62,3559731.63,35917179.62,10164258.34,12172546.5,136247168.5,561217.76,0,46359453.53,108764115.3,1023079.79,3877947.57,17272768.16,20960754.77,4645345.49,56700373.71,12032123.59,66241468.82,0,108614696.3,261736243.6,91945690.35,130682228.9,25840225.47,56877934.39,34684098.88,16669005.98,260713163.8,3559731.63,165464489,2292658.99,-3084359.8,-71176982.21,-518651.94,-29252.91,1343511,-7283591.68,-15224428.84,-14724757.33,-105904,6980127.45,40294.54,616328.68,-3458577.7,-6848227.58,3835827.48,2897194.48,105301511.4,36230022.89,-738045.93,-190141.08,-6021503.39,852720.06,-74261342.01,1.181291868,0.562688275,0.03871559,44.68 %,1.12009955,2.507063139,-0.101329943,-0.18 %,0.21 %,0.46 %,2.444192848,0.37734368,0.259066599,1.543106675,3.363761022,236.5358182,1.543106675,34.41 %,0.81 %,-0.70 %,-0.141612485,8.158710922,-22.83 %,-104.56 %,-96.73 %
1-Ene-20,147723020.7,6616322.38,398126771.3,243787428.2,154339343.1,71585643.08,69449428.29,65260559.18,692921.6,36297997.29,230599.96,12662891.92,26784301.51,18814392.51,6831927.76,135928650.2,615677.96,0,46359453.53,110108501.4,1026828.13,3727413.84,25720669.8,12179201.82,4645345.49,62441222.46,12032123.59,66241468.82,0,143226196.3,254900575,103312911.5,140474516.7,65953480.78,38963503.33,40256011.09,39913284.79,253873746.8,12662891.92,172549723.8,0,-174136.19,-28237297.34,-43465.87,-2731.45,-1448294.91,-18534.28,-1396715.68,-3995062.57,0,0,11.56,-47523.23,-1164728.28,-6151401.24,302850.38,17348.98,48976002.5,20581917.95,8130663.24,8176860.56,6616322.38,6616322.38,-28411433.53,1.386333946,1.00919325,0.122568339,43.34 %,1.117989233,2.579554657,438.6824436,16.70 %,1.60 %,3.58 %,0.986405181,0.177203812,0.118805808,0.706182807,0.86297316,516.8633338,0.706182807,42.02 %,13.51 %,16.60 %,1,0.813749406,6.90 %,-56.29 %,-43.51 %
1-Feb-20,147723020.7,7439003.73,393351852,238189827.6,155162024.4,73425410.15,69449428.29,72444283.39,692921.6,31235954.63,292819.57,12007368.21,9494943.16,19491301.92,6831927.76,136023590.3,632700.13,0,46359453.53,113157962.5,1033778.18,5664851.88,26011734.98,15546873.83,4645345.49,56409604.59,12032123.59,66241468.82,138853.79,136509619.9,256842232.2,94374784.59,143815043,73137204.99,25041816.99,37193626.08,42134835.28,255808454,12007368.21,169706420.9,0,-348272.38,-46222408.87,-88244.11,-5462.9,-4548175.17,-397544.93,-2469614.67,-8601773.08,0,0,56.63,-47523.23,-1170248.19,-6151401.24,336407.04,17348.98,77135859.86,30582527.59,12432190.44,12525897.45,7439003.74,7439003.74,-46570681.25,1.44646285,1.181118488,0.127230682,43.14 %,1.093736831,2.535103892,31.27241603,16.24 %,1.92 %,4.16 %,2.10879207,0.277148925,0.19860502,1.643108378,1.665858649,222.1399421,1.643108378,39.65 %,9.64 %,16.12 %,1,0.598366296,82.35 %,-9.02 %,113.37 %
1-Mar-20,147371949.2,8024757.13,354292568.7,198895862.5,155396706.3,74508463.23,69449428.29,22995985.4,1000522.68,18901187.1,237242.46,16474042.97,10931914.42,454702.28,7566325.22,147520275,676580.71,0,46359453.53,112764483.7,763897.74,221528.78,25955024.97,25716986.31,1391475.46,38748339.3,12183375.59,65739145.27,0,85140479.28,269152089.5,58784878.35,140110984.1,23996508.08,36648900.73,19359958.34,26355600.93,268388191.7,16474042.97,151512823,5714263.03,-522408.57,-46522415.32,-132621.84,-8194.35,-4318755.33,-2702379.3,-4371842.89,-9301695.13,0,3253870.01,84.99,-93603.87,-1170248.19,-6151401.24,770338.13,302726.15,73279040.85,32251206.14,11885540.63,12026356.82,4770887.12,8024757.13,-47044823.89,1.448339806,0.82489885,0.280242869,42.76 %,0.975006656,2.279923283,4.398176314,16.41 %,2.39 %,5.34 %,3.024591375,0.28154218,0.218360688,1.419741401,4.145850564,257.0890726,1.419741401,44.01 %,10.95 %,16.22 %,1.682026199,0.401402618,87.68 %,43.72 %,-910.15 %
1-Abr-20,147371949.2,4235917.69,360382794.2,208774927.4,151607866.8,74497565.31,69449428.29,11247490.05,1184224.2,19243543.84,1997.73,23151144.95,11855697.95,1264436.9,7566325.22,156859689.9,676580.71,0,46359453.53,112764483.7,764522.47,7505759.42,25825658.4,25632243.72,1391475.46,41365428.16,12183375.59,65739145.27,0,81901562.99,278481231.2,68793309.86,139981617.5,12431714.25,37487941.67,26751300.99,13108253.13,277716708.8,23151144.95,154129911.8,5714263.03,-696544.76,-46691095.82,-181356.99,-20272.24,-1591381.57,-3003104.66,-5663162.76,-9982346.43,0,3253870.01,111.05,-93603.87,-1174846.64,-6157700.71,1196469.45,962426.3,74588253.83,33877302.58,11894086.26,12095715.49,7206107.21,10459977.22,-47387640.58,1.190545464,0.645609601,0.336531924,42.77 %,1.016635317,2.377071861,3.960596651,16.22 %,2.99 %,6.98 %,2.710975687,0.279819027,0.212907649,1.24850559,2.752185964,292.349512,1.24850559,45.42 %,14.02 %,15.95 %,1.451543381,0.60585631,87.48 %,147.46 %,-493.77 %
1-May-20,147371949.2,4680523.24,374522985.1,222470512.7,152052472.4,76863961.13,69449428.29,4885111.97,1037259.27,17117451.2,17441.18,32081811.72,13770539.77,733222.06,9353943.95,157361057.7,130586.02,0,46359453.53,122600534.2,764522.47,7223044.18,25967071.38,31312101.58,1391475.46,48022909.16,12183375.59,65739145.27,0,93173990.32,281348994.8,72511431.74,149959081,5922371.24,45082641.35,24357936.56,20662558.58,280584472.3,32081811.72,170623443.3,5714263.03,-870680.95,-47304455.74,-230671.2,-32350.13,-4293177.92,-3593353.68,-7091537.83,-10094367.4,0,3253870.01,1731.66,451407.13,-1175716.33,-6157700.71,1210066.95,1618399.9,73274796.45,32432322.69,8860046.04,9123067.37,1426653.23,4680523.24,-48175136.69,1.284955876,0.663224375,0.442437985,45.56 %,1.122135278,2.463116707,2.465676031,12.45 %,1.32 %,3.08 %,2.327540809,0.273159955,0.205883545,1.121445948,3.681970283,325.4726637,1.121445948,44.26 %,6.39 %,12.09 %,3.280771488,0.161020973,80.90 %,233.51 %,-344.99 %
1-Jun-20,147371949.2,-1004882.95,375373519.4,229006453.2,146367066.2,77186390.66,69449428.29,6611876.59,870715.68,15837301.59,119174.16,25581428.81,16372096.78,871871.66,10256998.76,158203609.3,152867.62,0,46359453.53,125486045.8,764522.47,7908580,26039859.96,32294555.24,1391475.46,52071148.66,12183375.59,65739145.27,0,92859543.52,282513975.9,76089072.03,152917381.2,7482592.27,48666652.02,23865055.75,16770471.49,281749453.5,25581428.81,177557194.5,5714263.03,-1044817.14,-49855032.3,-275905.46,-34006.33,-8180406.18,-3782834.12,-8511689.99,-10498651.67,0,3253870.01,6382.36,432471.94,-1251308.16,-6157700.71,1124976.2,2342151.34,75713354.23,32869919.16,7265633.04,7575544.83,-4258752.96,-1004882.95,-50899849.44,1.220405783,0.580804711,0.336203717,47.30 %,1.213095262,2.564603699,1.920685076,10.01 %,-0.28 %,-0.67 %,2.550265316,0.280970182,0.212058363,1.119095335,3.53038754,326.1563055,1.119095335,43.41 %,-1.33 %,9.60 %,0.235957089,-0.586150296,70.10 %,-121.54 %,-304.26 %
1-Jul-20,147371949.2,-816482.01,387407942.4,240852475.2,146555467.1,79013083.85,69449428.29,13870726.53,2023163.98,23260239.76,513913.99,19353461.58,17721026.97,765632.14,11652722.38,160810790.3,152346.78,0,46359453.53,137728566.9,554522.39,7722799.22,26063019.45,35283358.76,1391475.46,44020113.65,12183375.59,65739145.27,0,100670092.3,286737850,75669413.4,165183061.8,15893890.51,53004385.73,31496952.97,25000678.94,286183327.7,19353461.58,181748680.6,5714263.03,-1218284.37,-57081296.25,-322234.22,-35535.8,-7852988.37,-4003873.33,-9813939.66,-11830205.64,0,3253870.01,6414.95,432471.94,-1282685.88,-6225934.17,1993745.43,2555255.02,84894475.3,34864412.73,7347622.79,7705392.81,-4070352.02,-816482.01,-58299580.62,1.330393455,0.629920393,0.255763336,46.91 %,1.240135794,2.643421975,1.835128683,9.08 %,-0.22 %,-0.54 %,2.350424459,0.31168367,0.231359661,1.235635808,3.352227492,295.3944825,1.235635808,41.07 %,-0.96 %,8.66 %,0.200592481,-0.55396856,48.81 %,-114.44 %,-492.08 %
