item,id,idclieprov,razon_social,iddocumento,documento,fecha,vencimiento,vencimiento_aux,diasemana,semana,glosa,idmoneda,tipo_moneda,semana_anterior,importemof,importemex,idestado,SemanaTexto,Año,NombreMes,SemanaColumna,DocumentoFila,moneda,importe_origen
2379,_62E0KITD98404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001557,3/06/2021 00:00,18/07/2021 00:00,18/07/2021 00:00,3,29,SERVICIO LOGISTICO,02,E,0,6380.02,1652,AP,29,2021,Julio,Sem 29,OSR 0001-0001557  F.Emision(03/06/2021) & F.Venc.(18/07/2021),US$,
2380,_62E0KJW9S8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001558,3/06/2021 00:00,18/07/2021 00:00,18/07/2021 00:00,3,29,SERVICIO LOGISTICO,02,E,0,6380.02,1652,AP,29,2021,Julio,Sem 29,OSR 0001-0001558  F.Emision(03/06/2021) & F.Venc.(18/07/2021),US$,
2381,_62E0KL32B8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001559,3/06/2021 00:00,18/07/2021 00:00,18/07/2021 00:00,3,29,SERVICIO LOGISTICO,02,E,0,6380.02,1652,AP,29,2021,Julio,Sem 29,OSR 0001-0001559  F.Emision(03/06/2021) & F.Venc.(18/07/2021),US$,
2382,_62E0KM8738404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001560,3/06/2021 00:00,18/07/2021 00:00,18/07/2021 00:00,3,29,SERVICIO LOGISTICO,02,E,0,6380.02,1652,AP,29,2021,Julio,Sem 29,OSR 0001-0001560  F.Emision(03/06/2021) & F.Venc.(18/07/2021),US$,
2383,_62E0KNK658404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001561,3/06/2021 00:00,18/07/2021 00:00,18/07/2021 00:00,3,29,SERVICIO LOGISTICO,02,E,0,6380.02,1652,AP,29,2021,Julio,Sem 29,OSR 0001-0001561  F.Emision(03/06/2021) & F.Venc.(18/07/2021),US$,
2384,_62E0KOQB48404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001562,3/06/2021 00:00,18/07/2021 00:00,18/07/2021 00:00,3,29,SERVICIO LOGISTICO,02,E,0,6380.02,1652,AP,29,2021,Julio,Sem 29,OSR 0001-0001562  F.Emision(03/06/2021) & F.Venc.(18/07/2021),US$,
2385,_62E0KQ0W58404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001563,3/06/2021 00:00,18/07/2021 00:00,18/07/2021 00:00,3,29,SERVICIO LOGISTICO,02,E,0,6380.02,1652,AP,29,2021,Julio,Sem 29,OSR 0001-0001563  F.Emision(03/06/2021) & F.Venc.(18/07/2021),US$,
2498,_62K11704W8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001743,10/06/2021 17:21,25/07/2021 17:21,25/07/2021 17:21,3,30,SERVICIO LOGISTICO,02,E,0,6432.89,1652,AP,30,2021,Julio,Sem 30,OSR 0001-0001743  F.Emision(10/06/2021) & F.Venc.(25/07/2021 17:21:12),US$,
2499,_62K1196BB8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001744,10/06/2021 17:22,25/07/2021 17:22,25/07/2021 17:22,3,30,SERVICIO LOGISTICO,02,E,0,6432.89,1652,AP,30,2021,Julio,Sem 30,OSR 0001-0001744  F.Emision(10/06/2021) & F.Venc.(25/07/2021 17:22:53),US$,
2506,_62L0XENOC8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001751,10/06/2021 00:00,25/07/2021 00:00,25/07/2021 00:00,3,30,SERVICIO LOGISTICO,02,E,0,2297.46,590,AP,30,2021,Julio,Sem 30,OSR 0001-0001751  F.Emision(10/06/2021) & F.Venc.(25/07/2021),US$,
2511,_62L0XQY6X8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001756,10/06/2021 00:00,25/07/2021 00:00,25/07/2021 00:00,3,30,SERVICIO LOGISTICO,02,E,0,2297.46,590,AP,30,2021,Julio,Sem 30,OSR 0001-0001756  F.Emision(10/06/2021) & F.Venc.(25/07/2021),US$,
2526,_62K0ZAZN68404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001740,10/06/2021 16:28,25/07/2021 16:28,25/07/2021 16:28,3,30,SERVICIO LOGISTICO,02,E,0,6400.72,1643.74,AP,30,2021,Julio,Sem 30,OSR 0001-0001740  F.Emision(10/06/2021) & F.Venc.(25/07/2021 16:28:19),US$,
2527,_62K0ZDWJX8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0001741,10/06/2021 16:30,25/07/2021 16:30,25/07/2021 16:30,3,30,SERVICIO LOGISTICO,02,E,0,7030.23,1805.4,AP,30,2021,Julio,Sem 30,OSR 0001-0001741  F.Emision(10/06/2021) & F.Venc.(25/07/2021 16:30:35),US$,
358,_5ZA10PQPU8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000086,12/02/2021 00:00,29/03/2021 00:00,29/03/2021 00:00,4,13,SERVICIO LOGISTICO,02,E,0,12666.54,3479.82,AP,13,2021,Marzo,Sem 13,OSR 0001-0000086  F.Emision(12/02/2021) & F.Venc.(29/03/2021),US$,
372,_5ZG0W4RHK8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000126,17/02/2021 00:00,3/04/2021 00:00,3/04/2021 00:00,2,14,SERVICIO LOGISTICO,02,E,0,12708.3,3479.82,AP,14,2021,Abril,Sem 14,OSR 0001-0000126  F.Emision(17/02/2021) & F.Venc.(03/04/2021),US$,
373,_5ZG0WG8SF8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000127,17/02/2021 00:00,3/04/2021 00:00,3/04/2021 00:00,2,14,SERVICIO LOGISTICO,02,E,0,6589.01,1804.22,AP,14,2021,Abril,Sem 14,OSR 0001-0000127  F.Emision(17/02/2021) & F.Venc.(03/04/2021),US$,
374,_5ZG0WMGBZ8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000128,17/02/2021 00:00,3/04/2021 00:00,3/04/2021 00:00,2,14,SERVICIO LOGISTICO,02,E,0,6589.01,1804.22,AP,14,2021,Abril,Sem 14,OSR 0001-0000128  F.Emision(17/02/2021) & F.Venc.(03/04/2021),US$,
376,_5ZG0WWD138404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000130,17/02/2021 00:00,3/04/2021 00:00,3/04/2021 00:00,2,14,SERVICIO LOGISTICO,02,E,0,6589.01,1804.22,AP,14,2021,Abril,Sem 14,OSR 0001-0000130  F.Emision(17/02/2021) & F.Venc.(03/04/2021),US$,
